verse|context
29:1|AlifLaamMeem.
29:2|Do people think that they are left alone by saying: 'We are believers' and will not be tried?
29:3|We tried those who have gone before them. Allah knows those who are truthful and those who lie.
29:4|Or do the evildoers think that they will outstrip Us? How evil is their judgment!
29:5|He who hopes to meet Allah (must know) that the term of Allah is coming. He is the Hearer, the Knower.
29:6|He who strives, strives for himself. Allah is the Rich, independent of the worlds.
29:7|As for those who believe and do good works, We shall acquit them of their sins, and recompense them with the best for what they were doing.
29:8|We have charged the human to be kind to his parents. But if they bid you to associate with Me that which you have no knowledge, do not obey them. To Me you will return, and I shall inform you of all that you have done.
29:9|Those who believe and do good works shall be admitted among the righteous.
29:10|There are some people who say: 'We believe in Allah' yet when such is hurt in the cause of Allah, he makes the persecution of people as though it were the punishment of Allah. But then if help comes from his Lord, he will say: 'We were with you' Does Allah not know what is in the (people's) chests of the worlds?
29:11|Most certainly Allah knows the believers and the hypocrites.
29:12|The unbelievers say to those who believe: 'Follow our path, and we will carry your sins' Yet they cannot carry even a thing of their sins. They are surely lying.
29:13|They shall certainly carry their loads, and other loads besides their loads, and on the Day of Resurrection, they shall be questioned about what they forged.
29:14|Indeed, We sent Noah to his nation, and he lived amongst them for a thousand years, less fifty (but they belied him), then the Flood seized them while they were harmdoers.
29:15|But We saved him and all who were in the Ark, and made (the event) a sign to the worlds.
29:16|And (remember) Abraham. When he said to his people 'Worship Allah and fear Him. That would be best for you, if you but knew.
29:17|You only worship, other than Allah, idols and invent falsehoods. Those whom you worship, other than Allah, have no power to give you provision. Therefore seek the provision of Allah, and worship Him. Give thanks to Him, to Him you shall return'
29:18|If you belie me, other nations before you also belied. It is only for a Messenger to deliver the clear deliverance.
29:19|Do they not see how Allah originates the Creation, and then brings it back? That is an easy matter for Allah.
29:20|Say: 'Travel in the land and see how He started the Creation. Then Allah will originate the Everlasting Life. Allah has power over all things.
29:21|He punishes whom He will and has mercy to whom He will. To Him you shall be turned.
29:22|You are not able to frustrate Him either in the earth or heaven, nor have you, other than Allah, a guardian or helper.
29:23|Those who disbelieve the verses of Allah and the meeting with Him shall despair of My Mercy, for them there awaits a painful punishment.
29:24|The only answer his nation gave was that they said: 'Kill him, or burn him! 'But Allah saved him from the fire. Surely, in this there are signs for a nation who believe.
29:25|He said: 'Other than Allah, you have taken to yourselves idols as an affection between yourselves in the present life. Then, on the Day of Resurrection, you shall deny one another and curse one another, and your refuge will be the Fire, and none shall help you'
29:26|Lot believed him, and said: 'I will migrate to my Lord; He is the Almighty, the Wise'
29:27|And, We gave him (Abraham), Isaac and Jacob and appointed on his descendants the Prophethood and the Book. We gave him his wage in this world, and in the Everlasting Life he shall be among the righteous.
