verse|context
43:1|HaMeem.
43:2|By the Clear Book
43:3|We have made it an Arabic Koran in order that you understand.
43:4|It is in the Origin of the Book with Us, sublime and wise.
43:5|Shall We turn away the Remembrance from you because you are a sinful nation?
43:6|How many a Prophet did We send to the ancients,
43:7|no Prophet came to them except that they mocked him,
43:8|so We destroyed those who were mightier in courage than they. And the example of the ancients has passed away.
43:9|Yet, if you ask them who created the heavens and the earth, they will answer: 'The Almighty, the Knower created them'
43:10|(It is) He who made the earth to be a cradle for you and made in it ways for you, in order that you are guided.
43:11|And (it is He), who sends down water from the sky in its measure thereby We revive the land that was dead, as such you shall be brought forth.
43:12|And, (it is He) who has created all the pairs and appointed for you ships and the cattle on which you ride,
43:13|so that you can sit upon their backs and then remember the Favors of your Lord and say: 'Exaltations to Him who has subjected these to us otherwise, we ourselves were not capable of it,
43:14|indeed, to our Lord we are turning'
43:15|Yet they assign to Him some of His own (created) worshipers! Clearly, the human is unthankful.
43:16|Or, has He taken daughters from those He has created for Himself and favored sons for you?
43:17|Yet when one of them is given glad news of (a daughter) that which he likened to the Merciful his face darkens and he chokes inwardly (with gloom).
43:18|(As such they attribute to Allah) who is brought up among ornaments but when disputes arise are powerless.
43:19|They claim that the angels, who are themselves the worshipers of the Merciful, are females. Did they witness their creation! Their witness shall be written down and they shall be questioned.
43:20|They say: 'Had it been the will of the Merciful, we would never have worshipped them' Of this they have no knowledge, they are but guessing.
43:21|Or have We given them a Book before this which they hold fast to?
43:22|No, but they say: 'We found our fathers following a creed, and by following in their footsteps we are guided.
43:23|As such, We never sent a warner before you to a village, except those living in luxury said: 'We found our fathers following a creed, and by following in their footsteps we are guided'
43:24|Say: 'What then if I bring you a better guidance than that you found your fathers following' But they reply: 'We disbelieve in that you have been sent with.'
43:25|So We took vengeance upon them, and see how the end was of those who lied.
43:26|(Remember) when Abraham, said to his father and his nation: 'I am quit from what you worship,
43:27|except Him who originated me, for He will guide me'
43:28|He made this an abiding word among his descendants, in order that they would return.
43:29|I gave them and their fathers days of enjoyment until the truth and a clear Messenger came to them.
43:30|But when the truth came to them, they said: 'This is sorcery, we disbelieve in it'
43:31|They also said: 'Why was this Koran not sent down to a great man from the two Villages'
43:32|What, is it they who divide the Mercy of your Lord! (It is) We who divided between them their livelihoods in this life, raising some in rank above others, sothat some may take the other into his service. Your Lord's Mercy is better than all they gather.
43:33|If it were not that mankind would be one nation We would have made for whosoever disbelieves in the Merciful silver roofs upon their houses, and stairs toclimb,
43:34|with doors to their houses and couches on which to recline;
