verse|context
10:1|AlifLaamRa. Those are the verses of the Wise Book.
10:2|Is it a wonder to the people that We revealed to a man from among themselves: 'Warn mankind, and bear the glad tidings to those who believe that they stand firm with their Lord' (Yet) the unbelievers say: 'This is a clear sorcerer'
10:3|Indeed, your Lord is Allah, who, in six days created the heavens and the earth and then willed to the Throne, directing affairs. There is no intercessor except by His permission. Such is Allah your Lord, therefore worship Him. Will you not remember?
10:4|To Him all of you will return together. This is, in truth, the promise of Allah. He originates creation, then He revives it so that He may recompense those who believe and do righteous deeds. As for the unbelievers, theirs is a drink of boiling water and a painful punishment for their disbelief.
10:5|It was He that made the sun a brightness and the moon a light, and determined it in phases so that you might know the number of years and the reckoning. Allah did not create them except in truth, and distinguishes the verses to a nation who know.
10:6|In the alternation of the night and day, and in all that Allah has created in the heavens and the earth, surely there are signs for people who are cautious.
10:7|Those who do not expect to meet Us, and are wellpleased with this life and are satisfied with it, and those who are inattentive to Our signs,
10:8|for them, their refuge is the Fire for what they have been earning.
10:9|Indeed, those who believe and do righteous works, their Lord will guide them for their belief, beneath them rivers will flow in gardens of bliss.
10:10|(In it) their supplication will be: 'Exaltations to You, Allah' And their greeting will be: 'Peace' They will end their supplication with 'Praise be to Allah, Lord of the all the Worlds'
10:11|If Allah should hasten evil to people as they would hasten good, their term would already have been decided. But We leave those who do not expect to meet Us to wander blindly in their insolence.
10:12|When affliction befalls a man, he supplicates to Us (lying) on his side, sitting or standing. But as soon as We relieve him from his affliction, he continues (in the same way), as though he never supplicated to Us when harm touched him. So it is, that which the sinners were doing seem fairly decorated to them.
10:13|We destroyed generations before you when they did evil. (When) their Messengers came to them with clear verses they would not believe; so We recompense the sinning nation.
10:14|After them We made you their successors in the earth, so that We might see how you would do.
10:15|When Our verses, clear verses, are recited to them, those who do not reckon to meet Us say: 'Bring a Koran other than this, or make changes in it' Say: 'It is not for me to change it by myself. I follow nothing, except what is sent down to me. Indeed, if I should rebel against my Lord I fear the punishment of a Great Day.'
10:16|Say (Prophet Muhammad): 'Had Allah willed, I would not have recited it to you, nor would He have made it known to you. I lived among you all my life before it (was sent down). Will you not understand?
10:17|Who does greater evil than he who forges a lie about Allah or belies His verses? Indeed, the evildoers do not prosper.
10:18|They worship, other than Allah, that which can neither harm nor benefit them, and say: 'These are our intercessors with Allah' Say: 'Will you tell Allah of something He does not know about either in the heavens or earth? Exaltations to Him! Exalted be He above what they associate'
10:19|(Before) mankind were but one nation, then they differed with one another. But for a Word that preceded from your Lord, it (the matters) over which they differed had already been decided.
10:20|They say: 'Why has no sign been sent down to him from his Lord' Say: 'The Unseen belongs to Allah alone. Wait if you will I am one of those who wait'
10:21|When We let people taste (Our) mercy after they had been afflicted by hardship, they devise against Our verses. Say: 'Allah is more swift in devising' Indeed, Our Messengers (the angels) are writing down whatever you devise.
10:22|It is He who conveys you by land and sea. When you are on board the ship and the ships run with them upon a fair breeze they are joyful. (But when) a strong wind and waves come upon them from every side, and they think they are encompassed, they supplicate to Allah, making their religion His sincerely, (saying): 'If You save us from this, we will indeed be among the thankful'
10:23|But when He has saved them, see how they become wrongfully insolent in the land. People, your insolence is only against yourselves; the enjoyment of this present life, then to Us you shall return and We shall tell you what you did.
10:24|This present life is like the water We send down from the sky. The plants of the earth mix with it and from it mankind and cattle eat; then when the earth has become lush and adorned, its inhabitants think they have power over it, Our command comes upon it by night or day, and We cause it to be stubble, just as though it had not flourished the day before. In this way We distinguish Our verses for those who reflect.
10:25|Allah invites you to the House of Peace. He guides whom He will to a Straight Path
10:26|for those who do good is a fine reward and a surplus. Neither dust nor shame shall cover their faces. Those are the companions of Paradise in it they shall live for ever.
10:27|As for those who have earned evil deeds, evil shall be recompensed with its like. Abasement will cover them, they shall have none to defend them from Allah as though their faces were covered with parts of the blackness of night. Those, they are the companions of the Fire, in it they shall live for ever.
10:28|And on the Day when We assemble them all together, We shall say to those who associated (other gods with Allah): 'Go to your place, you and your associates' Then, We will separate them, and their associates will say (to them): 'It was not us that you worshipped'
10:29|Allah is a Sufficient witness between us and you, surely, we were heedless of your worship.
10:30|There, each soul shall prove its past deeds. They shall be restored to Allah, their Guardian, the True, and that which they forged will escape from them.
10:31|Say: 'Who provides for you from heaven and earth, or who owns the hearing and the sight? Who brings forth the living from the dead, and the dead from the living' Who directs the affair? Surely, they will say: 'Allah' Then say: 'Then, will you not be fearful'
10:32|Such is Allah, your Lord, the True. What, is there after truth, anything except error. Then how are you turned around (from faith)'
10:33|So the Word of your Lord is realized against the evildoers that they do not believe.
10:34|Say: 'Is there any (among) your associates who originates creation, then cause it to be revived yet again' Say: 'Allah, He originates creation, then revives it yet again. How is it that you are so perverted'
10:35|Say: 'Do any of your partners guide you to the truth' Say: 'Allah, He guides to the truth. Who then is worthier to be followed He who guides to the truth or he who cannot guide unless he (himself) is guided? What is the matter with you, how then can you judge'
10:36|Most of them follow nothing except conjecture. But conjecture does not help against the truth. Allah knows the things they do.
10:37|This Koran could not have been forged by other than Allah. It confirms what was before it; a distinguishing Book, in which there is no doubt, from the Lord of all the worlds.
10:38|Do they say: 'He has forged it'. Say: 'Compose one chapter like it, and call upon whom you will, other than Allah (to help you), if what you say is true'
10:39|They have belied that which they did not understand of its knowledge, nor has its interpretation reached them. Those who were before also belied. But see how was the end of the harmdoers.
10:40|Some believe in it, while others do not believe it. Your Lord knows well the corrupters.
10:41|If they belie you, say: 'I have my work, you have your work. You are quit of what I do, and I am quit of what you do'
10:42|Some of them listen to you. But can you make the deaf hear you, even though they cannot understand?
10:43|Some of them look to you. But can you guide the blind, even though they do not see?
10:44|Indeed, Allah does not wrong mankind a thing, but they wrong themselves.
10:45|The Day when He will gather them, (it will be) as though they had lingered but an hour of the Day and they will recognize one another. Lost are those who belied the meeting with their Lord and were not guided.
10:46|Whether We let you see some of that with which We promised them, or We call you to Us, to Us they shall return. Allah is witness of the things they do.
10:47|Every nation has its Messenger. Then, when their Messenger comes the matter is justly decided between them; they are not wronged.
10:48|They ask: 'If what you say is true, when will this promise come'
10:49|Say: 'I have no power to benefit or harm myself except as Allah wills. To every nation is a fixed term and when their term comes they cannot delay it for an hour, nor can they bring it forward.
10:50|Say: 'Have you considered? Should His punishment come upon you by night or by day, what (part) of it would the sinners try to hasten'
10:51|And when it overtakes you, is it then that you will believe in it, now, when you already try to hasten it!
10:52|Then it shall be said to the evildoers: 'Taste the punishment of eternity! Shall you be recompensed except according to what you earned'
10:53|They ask you to tell them if it is true. Say: 'Yes, by my Lord! It is true, and you cannot frustrate it'
10:54|If each soul that has done evil had all that is in the earth, it would offer it for its ransom. And secretly they will feel regret when they see the punishment, and the matter is justly decided between them, and they are not wronged.
10:55|Indeed, to Allah belongs everything in the heavens and the earth. Indeed, the promise of Allah is true though most of them do not have knowledge.
10:56|It is He who gives life and causes death, and to Him you shall be returned.
10:57|People, an admonition has now come to you from your Lord, and a healing for what is in the chests, a guide and a mercy to believers.
10:58|Say: 'In the Bounty of Allah and His Mercy let them rejoice, it (the Koran) is better than that which they hoard'
10:59|Say: 'Have you considered the provision that Allah has sent down for you, and some you have made unlawful and some lawful' Say: 'Has Allah given you His permission, or do you forge (falsehood) against Allah'
10:60|What will those who forged falsehood about Allah think on the Day of Resurrection? Allah is Bountiful to mankind; yet most of them do not give thanks.
10:61|You are not engaged in any matter, neither do you recite any portion of the Koran, nor do you do any work, except that We are witnesses over you when you press upon it? Not even as much as the weight of an ant in earth or heaven escapes your Lord, nor is there anything smaller or greater, but it is (recorded) in a Clear Book.
10:62|Indeed, there shall be neither fear nor sorrow upon the guided by Allah.
10:63|Those who believe and are cautious
10:64|there is for them glad tidings in this present life and in the Everlasting Life. The Word of Allah is unchanging, that is the mighty triumph.
10:65|Do not let their speech grieve you. All might belongs to Allah. He is the Hearing, the Knowing.
10:66|Attention: Indeed to Allah belongs everyone that is in the heavens and in the earth. Those who call upon associates, other than Allah, follow nothing but assumptions, (they are) only lying.
10:67|He it is who has made the night for your rest and the day to see. Surely, in this there are signs for people who listen.
10:68|They say: 'Allah has taken a son' Exaltations be to Him (Allah)! Rich is He. To Him belongs all that is in the heavens and the earth you have no authority for this! What, do you say of Allah what you do not know?
10:69|Say: 'Those who forge falsehoods against Allah shall not prosper'
10:70|(They take their) enjoyment in this world, but to Us they shall return, then, We shall let them taste the terrible punishment because they were unbelievers'
