verse|context
26:1|TaSeenMeem.
26:2|Those are the verses of the clear Book.
26:3|Perhaps you consume yourself that they are not believers.
26:4|If We will, We can send down on them a sign from heaven before which their necks will remain humbled.
26:5|A fresh remembrance has never come to them from the Merciful, except they turn away from it.
26:6|So, they belied, but surely the tidings of that they mocked will come to them.
26:7|Have they not seen the earth, how many We caused to grow in it every generous kind?
26:8|Surely, in this there is a sign yet most of them do not believe.
26:9|Your Lord, He is the Almighty, the Most Merciful.
26:10|And when your Lord called to Moses, saying: 'Go to the harmdoing nation,
26:11|the nation of Pharaoh. Will they not fear Me'
26:12|'My Lord' he replied, 'I fear they will belie me
26:13|and my chest will become constricted and my tongue will not be loosed (in my speech), therefore, send to Aaron.
26:14|They hold a sin against me, and I fear that they will kill me'
26:15|He said: 'Never so, go both of you with Our signs; We shall be with you, listening
26:16|go both to Pharaoh and both of you say to him: 'We are (each) a Messenger from the Lord of all the Worlds.
26:17|Send forth with us the Children of Israel'
26:18|He (Pharaoh) said (to Moses): 'Did We not bring you up when you were a child? And have you not spent years of your life amongst us?
26:19|Yet you were ungrateful and have done the deed you did'
26:20|He (Moses) replied: 'Indeed, I did that when I was among those who stray.
26:21|I fled from you because I feared you. But my Lord has given me judgment and made me one of the Messengers.
26:22|Is this then the blessing with which you reproach me, that you have the Children of Israel for worshipers'
26:23|Pharaoh said: 'And what is the Lord of the Worlds'
26:24|'He' (Moses) replied: 'is the Lord of the heavens and the earth and all that is between them, if you believe'
26:25|'Do you not hear' said he (Pharaoh) to those around him.
26:26|He said, 'Your Lord and the Lord of your fathers, the ancients'
26:27|(Pharaoh) said: 'Surely, the Messenger who has been sent to you is mad!'
26:28|'He is the Lord of the East and the West' said he (Moses), 'and all that is between them, if you could understand'
26:29|'If you take any other god except myself' he (Pharaoh) replied, 'you shall be thrown into prison'
26:30|'What, even if I brought you something clear' said he (Moses).
26:31|He (Pharaoh) replied: 'Show us your sign, if you are of the truthful'
26:32|He cast down his staff and thereupon it was a clear serpent.
26:33|Then he drew out his hand, and it was luminous to the onlookers.
26:34|'This', said he (Pharaoh) to his Council, 'is a cunning sorcerer
26:35|who seeks to expel you from your land by his sorcery. What is your counsel'
26:36|They replied: 'Put him and his brother off for a while, and send heralds to your cities
26:37|to bring every knowledgeable sorcerer'
26:38|The sorcerers were gathered at the appointed time on a wellknown day,
26:39|and the people were asked: 'Will you gather
26:40|in order that we shall follow the sorcerers if they are the victors'
26:41|Then, when the sorcerers came to Pharaoh, they said: 'Shall we receive a wage if we win'
26:42|'Yes, indeed' he answered, 'and you shall become among those who are near stationed'
26:43|Moses said to them: 'Cast down what you cast'
26:44|So they cast their ropes and staffs, saying: 'By Pharaoh's might, we shall be the victors'
26:45|Then Moses cast down his staff and it swallowed up their lying invention,
26:46|so the sorcerers were cast down, prostrating themselves,
26:47|saying: 'We believe in the Lord of the Worlds,
26:48|the Lord of Moses and Aaron'
26:49|He (Pharaoh) said: 'You have believed him before I have given you permission. He is the chief of you who has taught you sorcery. But you shall know. I will surely cut off on opposite sides a hand and a foot, and crucify you all.'
26:50|'There is no harm' they replied, 'for surely to our Lord we are turning.
26:51|We are eager that Our Lord should forgive us our offenses, for we are the first of the believers'
26:52|Also, We revealed to Moses, saying: 'Go with My worshipers by night, for you will be followed'
26:53|Then Pharaoh sent gatherers to the cities.
26:54|'These' they said, 'are a small band,
26:55|they have enraged us,
26:56|and we are a host on our guard'
26:57|As such We expelled them from their gardens and their fountains,
26:58|their treasures and a noble station.
26:59|As such we gave it to the Children of Israel.
26:60|At sunrise, they followed them.
26:61|And when the two hosts came in view of each other, Moses' companions said: 'We have been reached'
26:62|'No, indeed' he replied, 'my Lord is with me and He will guide me'
26:63|Then We revealed to Moses: 'Strike the sea with your staff', so it divided and each part was as a mighty mount.
26:64|And there We brought the others on,
26:65|and We saved Moses and those who were with him together,
26:66|then, We drowned the others.
26:67|Surely, in that there is a sign; yet most of them do not believe.
26:68|Surely, your Lord is the Almighty, the Most Merciful.
26:69|And recite to them the news of Abraham.
26:70|He said to his father and to his nation: 'What do you worship'
26:71|They replied: 'We worship idols and continue cleaving to them'
26:72|'Do they hear you when you call on them' He asked.
26:73|'Can they benefit you or harm you'
26:74|They replied: 'No, but we found our fathers doing so'
26:75|He said: 'Have you considered what you worship,
26:76|you, and your elderly fathers?
26:77|They are enemies to me except the Lord of all the Worlds
26:78|who created me; and He guides me,
26:79|and He gives me to eat and drink,
26:80|who, when I am sick, heals me;
26:81|who makes me to die and then revives me,
26:82|and whom I am eager shall forgive me my sins on the Day of Recompense'
26:83|My Lord, give me judgment, and join me with the righteous.
26:84|And appoint me a tongue of truthfulness among the latter.
26:85|and place me amongst the inheritors of the Garden of Bliss.
