verse|context
24:1|This is a chapter which We have sent down and appointed; and in it We have sent down clear verses in order that you will remember.
24:2|You shall lash the fornicatress and the fornicator each with a hundred lashes. In the religion of Allah, let no tenderness for them seize you if you believe in Allah and the Last Day; and let their punishment be witnessed by a party of believers.
24:3|The fornicator shall marry none but a fornicatress or an idolatress; and the fornicatress none shall marry her but a fornicator or an idolater; that is forbidden to the believers.
24:4|Those who accuse chaste women, and cannot produce four witnesses, you shall lash them with eighty lashes. And never accept their testimony, for they are evildoers,
24:5|except those among them that afterwards repent and mend their ways. Allah is Forgiving, Merciful.
24:6|And those who accuse their wives and have no witnesses except themselves, let them testify by swearing by Allah four times that he is of the truthful,
24:7|and the fifth time, that the curse of Allah shall be upon him, if he should be of the liars.
24:8|But the punishment will be averted from her if she swears four times that he is of the liars,
24:9|and on the fifth time the Wrath of Allah shall be upon her if he is of the truthful.
24:10|If it were not for the bounty of Allah to you and His Mercy, and that Allah turns, and is the Wise,
24:11|those who came with the slander were a number of you. Do not regard it evil for you, rather it is good for you. Every person of them shall have the sin that he has earned charged to him. As for he who took upon himself the greater part there is a mightier punishment.
24:12|Had you heard it, and the believing men and women, thought good thoughts about one another said: 'This is a clear falsehood'
24:13|Why, did they not bring four witnesses against it? But since they did not bring the witnesses, before Allah they are the liars.
24:14|But for the bounty of Allah and His Mercy towards you in this life and in the Everlasting Life you would have been sternly punished for that which you were involved.
24:15|You carried with your tongues and uttered with your mouths what you did not know. You have thought it a trifle, but before Allah it was a mighty thing.
24:16|When you heard it, why did you not say: 'It is not right for us to speak of this. Exaltations to You! This is a mighty slander'
24:17|Allah exhorts you never again to repeat the like, if you are believers.
24:18|Allah makes plain to you His verses, and Allah is the Knower, the Wise.
24:19|Those who love that indecency should be broadcast about those who believe theirs is a painful punishment in this world and in the Everlasting Life. Allah knows, and you do not know.
24:20|If it was not for the bounty of Allah to you and His Mercy, and Allah is the Gentle, the Most Merciful.
24:21|Believers, do not follow in the steps of satan, for those who follow the steps of satan, he bids to indecency and dishonor. But for the bounty of Allah to you, and His Mercy no one of you would ever have been purified; but Allah purifies whom He will; Allah is the Hearer, the Knower.
24:22|Do not let those of you who possess bounty and plenty swear not to give kinsmen, and the poor, and those who emigrate in the way of Allah. Let them pardon and forgive. Do you not yearn that Allah forgives you? And Allah is the Forgiver, the Most Merciful.
24:23|Surely, those who defame chaste, unsuspecting, believing women, shall be cursed in this world and in the Everlasting Life, and for them there is a mightypunishment.
24:24|On the Day when their tongues, hands and feet shall testify against them concerning what they were doing.
24:25|Upon that Day Allah will pay them their due in full, and they will know that Allah is the clear truth.
24:26|Evil women for evil men, and evil men for evil women; good women for good men, and good men for good women these are clear of what has been said; for them is forgiveness, and a generous provision.
24:27|Believers, do not enter houses other than your houses until you first ask permission and greet with peace the people thereof; that is better for you in order that you remember.
24:28|And if you do not find anyone there, do not enter it until permission is given to you. And if you are told 'Return', so return, that is purer for you; and Allah knows the things you do.
24:29|There is no fault in you that you enter uninhabited houses wherein there is benefit for you. Allah knows what you reveal and what you hide.
24:30|Say to the believers they should lower their gaze and guard their private parts that is purer for them. Allah is Aware of the things they do.
24:31|And say to the believing women, that they lower their gaze cast down their eyes and guard their chastity, and do not reveal their adornment except that which is outward (face and hands); and let them draw their veils over their neck, and not reveal their adornment except to their husbands, or their fathers, or their husbands' fathers, or their sons, or their husbands' sons, or their brothers, or their brothers' sons, or their sisters' sons, or their women, or what their right hands own, or such male attendants having no sexual desire, or children who have not yet attained knowledge of women's private parts; nor let them stamp their feet, so that their hidden ornament is known. And, O believers turn to Allah all together, in order that you prosper.
24:32|Marry those among you who are spouseless and the virtuous among your male and female slaves (thereby freeing them), if they are poor, Allah will enrichthem of His bounty; Allah is Embracing, Knowing.
24:33|Let those who do not find the means to marry be abstinent until Allah enriches them of His bounty. Those your right hand owns who seek their freedom, make a contract with them accordingly if you know some good in them, and give them from the wealth of Allah that He has given you. Do not force your slavegirls into prostitution in order to seek worldly gain for they wish to preserve their chastity. Whosoever compels them, surely Allah, after their being compelled, is the Forgiver (to the girls), the Most Merciful.
24:34|Now We have sent down to you clarifying verses, and an example of those who passed away before you and admonition to the cautious.
24:35|Allah is the Lighter of the heavens and the earth. The example of His Light is like a tube, in which there is a wick. The wick is in a lamp and the lamp is as a glittering planet kindled from a Blessed Tree, an olive that is neither of the East nor of the West. Its oil would almost shine forth though no fire touched it. Light upon light; Allah guides to His Light whom He will. Allah strikes parables for people. Allah has knowledge of all things.
24:36|In houses which Allah has allowed to be raised up, and His Name to be remembered therein. In the morning and evening
24:37|are men who exalt Him there, whom neither trade nor sale can divert from the remembrance of Allah, and establish the prayers, and pay the obligatorycharity; fearing a Day when hearts and eyes shall be turned about,
24:38|that Allah will recompense them for the finest deeds they did and increase them from His bounty. Allah provides without measure to whom He will.
24:39|As for the unbelievers, their works are like a mirage in the wilderness. The thirsty person thinks it is water, but when he comes near he finds that it is nothing. He finds Allah there, who pays him his account in full. Allah is Swift in reckoning.
