verse|context
77:1|By (the wind) those sent (as horses') mane (in succession),
77:2|storming tempestuously
77:3|and by the scatterers scattering (rain)
77:4|then the criterion (the verses of Koran), separating
77:5|and those (angels) dropping, reminding
77:6|excusing or warning,
77:7|surely, that which you have been promised is about to fall!
77:8|When the stars are extinguished,
77:9|and when the sky is rent asunder
77:10|and the mountains scattered,
77:11|and when the Messengers' time is set
77:12|to what day shall they be deferred?
77:13|Upon the Day of Decision!
77:14|Would that you knew what the Day of Decision is!
77:15|Woe on that Day to those who belied it!
77:16|Did We not destroy the ancients
77:17|and let the latter follow them?
77:18|As such shall We deal with the sinners.
77:19|Woe on that Day to those who belied it!
77:20|Did We not create you from a weak water,
77:21|which We placed within a sure lodging
77:22|for an appointed term?
77:23|We determined, how excellent a Determiner are We!
77:24|Woe on that Day to those who belied it!
77:25|Have We not made the earth a housing
77:26|for both the living and the dead?
77:27|Have We not placed high mountains upon it and filled you with sweet water?
77:28|Woe on that Day to those who belied it!
77:29|Depart to that which you belied!
77:30|Depart into the shadow of three masses,
77:31|wherein there is neither shade, nor freeing from the blazing flames
77:32|it throws spits as (high as a huge) palace,
77:33|as black camels.
77:34|Woe on that Day to those who belied it!
77:35|This is the Day they shall not speak,
77:36|nor shall they be given permission, so that they can apologize.
77:37|Woe on that Day to those who belied it!
77:38|Such is the Day of Decision. We will gather you with the ancients.
77:39|If you are cunning, then try your cunning against Me!
77:40|Woe on that Day to those who belied it!
77:41|Indeed, the cautious, shall live amid shades and fountains
77:42|and have such fruits as they desire.
77:43|(It shall be said to them): 'Eat and drink, with a good appetite, for all that you did'
77:44|As such We recompense those who did good.
77:45|Woe on that Day to those who belied it!
77:46|'Eat and enjoy yourselves a little, for you are sinners'
77:47|Woe on that Day to those who belied it!
77:48|When it is said to them: 'Bow yourselves' they do not bow.
77:49|Woe on that Day to those who belied it!
77:50|After this, in what discourse will they believe?
