verse|context
8:1|They ask you about the spoils (of war). Say: 'The spoils belong to Allah and the Messenger. Therefore, have fear of Allah and set things right between you. Obey Allah and His Messenger, if you are believers'
8:2|Indeed the believers are those whose hearts quake at the mention of Allah, and when His verses are recited to them it increased them in faith. They are those who put their trust in their Lord.
8:3|Those who pray steadfastly, and spend of that which We have provided them,
8:4|those are, in truth, the believers. They shall have degrees with their Lord and forgiveness, and a generous provision.
8:5|It is like when your Lord caused you to leave your home with the truth, though some of the believers disliked it.
8:6|They argued with you about the truth after it had been made clear, as though they were being led to certain death while looking.
8:7|(Remember) when Allah promised to grant you one of the two parties (at Badr), and you wished for the one that was not strong. Allah wanted to establish the truth by His Words and to sever the unbelievers to the last,
8:8|in order that He might verify the truth and annul the falsehood, even though the wrongdoers hated it.
8:9|And when you (Prophet Muhammad) prayed to your Lord for help, He answered: 'I am sending to your aid a thousand angels in succession'
8:10|Allah only made it to be glad tidings and so that your hearts may be satisfied; victory comes only from Allah; He is Almighty, Wise.
8:11|When you were overcome by sleep, as security from Him, He sent down water from the sky to cleanse you and to purify you of satan's filth, to strengthen your hearts and to steady your footsteps.
8:12|And when Allah revealed to the angels, saying: 'I shall be with you. Give courage to the believers. I shall cast terror into the hearts of the unbelievers. Strike them above the necks, smite their finger tips'
8:13|This is because they had made a breach with Allah and His Messenger. He who makes a breach with Allah and His Messenger indeed, Allah is stern in retribution.
8:14|'That for you, so taste it, the punishment of the Fire is for the unbelievers'
8:15|Believers, when you encounter unbelievers on the march do not turn your backs to them in flight.
8:16|If anyone on that day turns his back to them in flight, except when maneuvering to fight, or to join another party, he shall be laden with the Anger of Allah and Gehenna shall be his refuge an evil arrival.
8:17|It was not you who killed them, but Allah slew them, neither was it you who threw at them. Allah threw at them in order that He confers on the believers a fair benefit. Indeed, Allah is Hearing, Knowing.
8:18|Allah will surely weaken the guile of the unbelievers.
8:19|If you were seeking a victory, victory has now come to you. If you desist, it will be better for you. If you resume We will return, and even if your forces are numerous, they shall not help you at all. And Allah is with the believers.
8:20|Believers, obey Allah and His Messenger, and do not turn away from him when you are hearing.
8:21|Do not be like those who say: 'We hear' but they do not listen.
8:22|The worst beasts before Allah are those who are deaf, dumb, and do not understand.
8:23|Indeed, had Allah known any good in them, He would have let them hear. But even if He had made them hear, they would have turned away, swerving aside.
8:24|Believers, respond to Allah and the Messenger when he calls you to that which revives you. Know that Allah is between the person and his heart, and that toHim you shall all be gathered.
8:25|And be cautious against a sedition that will not smite the harmdoers alone. Know that the punishment of Allah is Stern.
8:26|And remember how He gave you shelter when you were few in number and considered weak in the land, ever fearing that the people would snatch you away; but He gave you refuge and supported you with His victory and provided you with goodness, so that you might give thanks.
8:27|Believers, do not betray Allah and the Messenger, nor knowingly betray your trust.
8:28|Know that your children and your wealth are but a temptation, and that the reward with Allah is great.
8:29|Believers, if you fear Allah, He will give you a criteria and cleanse you of your sins and forgive you. Allah is the Owner of great bounty.
8:30|And when the unbelievers plotted against you (Prophet Muhammad). They sought to either take you captive or have you killed, or expelled. They plotted but Allah (in reply) also plotted. Allah is the Best in plotting.
8:31|Whenever Our verses are recited to them, they say: 'We have heard them, if we wished, we could speak its like. They are but tales of the ancients'
8:32|When they say: 'O Allah, if this is indeed the truth from You, rain down upon us stones from heaven or bring us a painful punishment.'
8:33|But Allah was not to punish them whilst you were living in their midst. Nor would Allah punish them if they repeatedly ask forgiveness of Him.
8:34|And why should Allah not punish them, when they have barred others from the Sacred Mosque, although they were not its guardians? Its only guardians are the cautious, though most of them do not know.
8:35|Their prayers at the Sacred House are nothing but whistling and clapping. Therefore, taste the punishment for your disbelief.
8:36|Those who disbelieve spend their wealth to bar (others) from the Path of Allah. They will spend it; but it will become a regret for them, then they will be overcome. The unbelievers shall be gathered in Gehenna,
8:37|in order that Allah will separate the wicked from the good. He will heap the wicked one upon another, and then heap them together and cast them in Gehenna those shall be the losers.
8:38|Tell the unbelievers that if they abandon their ways He will forgive them what is past; but, if they return, that was indeed the way of their forefathers who have passed away.
8:39|Fight them until persecution is no more and the Religion of Allah reigns supreme. If they desist, Allah sees the things they do;
8:40|but if they turn away, know that Allah is your guardian, (He is) the best Guardian and the best Giver of victory.
8:41|And know that one fifth of whatever you take as spoils belong to Allah, the Messenger, kinsmen of the Messenger, the orphans, the needy, and the destitute traveler; if you believe in Allah and what We sent down to Our worshiper on the day of victory, the day when the two armies met. Allah has power over all things.
8:42|And when you were encamped on the nearside and they (the unbelievers) on the farther side, with the caravan below, had you made an appointment with them, you would have surely failed to keep it; but Allah sought to accomplish what He had ordained, so that by clear evidence, he who was destined to perish might perish, and he who was destined to live might live. Surely, Allah is Hearing, Knowing.
8:43|And when Allah made them appear to you in a vision as a small band, had He showed them to you as many, your courage would have failed you and you would have quarreled over the affair. But Allah saved; He knows the inner most thoughts in the chests.
8:44|And when you met them, He showed them in your eyes as being few, and decreased (your number) in their eyes so that Allah might determine what was ordained. To Allah all matters return.
8:45|Believers, when you meet an army stand firm and remember Allah abundantly, in order that you are prosperous.
8:46|Obey Allah and His Messenger and do not dispute with one another lest you should lose courage and your resolve weaken. Have patience Allah is with those who are patient.
8:47|Do not be like those who left their homes elated with insolence and showing off to people, barring others from the Path of Allah but Allah encompasses what they do.
