verse|context
34:1|Praise is for Allah, to whom belongs all that is in the heavens and the earth! And the Praise belongs to Him in the Everlasting Life. He is the Wise, the Knower.
34:2|He knows all that penetrates the earth and all that comes forth from it, all that comes down from heaven and all that ascends to it. He is the Most Merciful, the Forgiver.
34:3|The unbelievers say: 'The Hour will never come to us' Say: 'By my Lord, yes, it is surely coming to you! By Him who knows the Unseen, not even the weight of an atom in heavens and earth escapes Him; neither is there anything smaller than that, nor greater except that it is in a Clear Book,
34:4|in order that He recompenses those who believe and do good works; theirs shall be forgiveness and a generous provision.
34:5|But those who labor against Our verses (thinking they are) frustrating (Our Messengers), theirs shall be the painful punishment of anger'
34:6|Those to whom the knowledge has been given can see that what has been sent down to you from your Lord is the truth, guiding to the Path of the Almighty, the Praised.
34:7|The unbelievers say: 'Shall we direct you to a man who will tell you that when you have been utterly torn into pieces you will be raised in a new creation?'
34:8|What, has he forged a lie about Allah, or is he mad' No, those who do not believe in the Everlasting Life are in the punishment and in far error.
34:9|Have they not seen what is before them and behind them in heaven and earth? If We willed, We would make the earth swallow them up, or We would let lumps from heaven fall down on them. Surely, there is a sign in this for every penitent worshiper.
34:10|We gave David bounty from Us. 'O mountains, and birds, echo (the praise of Allah) with him' And We softened iron for him,
34:11|(saying): 'Make large coats of mail and measure their links well. Do good deeds, for surely I see the things you do'
34:12|To Solomon the morning course of the wind was a month's journey, and its evening course was also a month's journey. We caused copper to be (as a) molten spring for him. And the jinn, some served him by the permission of his Lord. But as for those amongst them that swerved away from Our Command, We shall let them taste the punishment of the Blaze (the Fire).
34:13|They made for him whatever he wanted, arches, statues, bowls as basins, and fixed cauldrons. (We said:) 'Give thanks, House of David and work' Yet only a few of My worshipers are thankful.
34:14|And when We decreed (Solomon's) death, they had no indication that he was dead until (they saw a termite), a crawler of the earth eating away his staff. And when he fell down, the jinn realized that had they known the unseen, they would not have continued in their humiliating punishment.
34:15|For Sheba there was indeed a sign. In their dwelling place there were two gardens, on the right and left side. (We said): 'Eat of your Lord's provisions and give thanks to Him, a good land, and a Lord who is the Forgiving'
34:16|But they turned away. So We sent against them the Flood (at the city) of Arim, and exchanged their gardens with two others bearing bitter fruit andTamarisks, and here and there a few Lotus trees.
34:17|As such We recompensed them for their disbelief; do We recompense any except the unbelievers?
34:18|Between them and the villages which We had blessed, We placed easily visible villages, and We spaced the journey between them exactly. (We said):'Travel through them by day and night in safety'
34:19|But they said: 'Lord, make the stages between our journeys longer' so they wronged themselves; so We made them news and We tore them utterly into pieces. Surely, there are signs in this for every one who is patient, thankful.
34:20|iblis' made his guess true to them; and all except for a party of believers followed him.
34:21|Yet he had no authority over them except that We would know who believed in the Everlasting Life, from he who doubted. Your Lord is the Watcher over all things.
