3:1 | AlifLaamMeem.
3:2 | Allah! There is no god except He, the Living, the Everlasting.
3:3 | He has sent down to you the Book with the truth, confirming what preceded it; and He has sent down the Torah and the Gospel (of Prophet Jesus which has been lost)
3:4 | before, as a guidance for people, and He sent down the Criterion. As for those who disbelieve in the verses of Allah, for them is an intense punishment. Allah is Mighty, Owner of Vengeance.
3:5 | Nothing on earth or in heaven is hidden from Allah.
3:6 | It is He who shapes you in your mothers' wombs as He wills. There is no god except Him, the Almighty, the Wise.
3:7 | It is He who has sent down to you the Book. Some of its verses are precise in meaning they are the foundation of the Book and others obscure. Those whose hearts are swerving with disbelief, follow the obscure desiring sedition and desiring its interpretation, but no one knows its interpretation except Allah. Those who are wellgrounded in knowledge say: 'We believe in it, it is all from our Lord. And none remember except those who are possessed of minds.
3:8 | Lord, do not cause our hearts to swerve after You have guided us. Grant us Your Mercy. You are the Embracing Giver.
3:9 | Lord, You will surely gather all the people for a Day that will come in which there is no doubt' Allah will not break His promise.
3:10 | Those who disbelieve, neither their riches nor their children shall save them from Allah. They shall become the fuel of the Fire.
3:11 | Like Pharaoh's people and those before them who belied Our revelations; Allah seized them in their sinfulness. Allah is firm in inflicting punishment.
3:12 | Say to those who disbelieve: 'You shall be overcome and gathered into Gehenna (Hell), an evil cradling'
3:13 | Indeed, there was a sign for you in the two armies which met on the battlefield. One was fighting in the way of Allah, and another unbelieving. They (the believers) saw with their eyes that they were twice their own number. Allah strengthens with His victory whom He will. Surely, in that there was a lesson for those possessed of eyes.
3:14 | Decorated for people are the desires of women, offspring, and of heaped up piles of gold and silver, of pedigree horses, cattle, and sown fields. These are the enjoyments of the worldly life, but with Allah is the best return.
3:15 | Say: 'Shall I tell you of a better thing than that? For the cautious with their Lord, theirs shall be Gardens underneath which rivers flow, where they shall live for ever, and purified spouses, and pleasure from Allah' Allah is watching over His worshipers.
3:16 | Those are they who say: 'Lord, we believe in You, forgive us our sins and save us from the punishment of the Fire',
3:17 | who are patient, truthful, obedient, and charitable, and who ask forgiveness at dawn.
3:18 | Allah bears witness that there is no god except He, and so do the angels and the knowledgeable. He upholds justice there is no god except He, the Mighty, the Wise.
3:19 | The only religion with Allah is Islam (submission). Those to whom the Book was given disagreed among themselves only after knowledge had been given to them being insolent among themselves. He who disbelieves the verses of Allah indeed Allah is Swift in reckoning.
3:20 | If they argue with you, say: 'I have submitted my face to Allah and so have those who follow me' To those who have received the Book (Jews and Nazarenes) and to the ignorant, ask: 'Have you submitted yourselves to Allah' If they became Muslims they were guided, if they turn away, then your only duty is to warn them. Allah is watching over all His worshipers.
3:21 | Those who disbelieve the verses of Allah and slay the Prophets unjustly, and slay those who bid to justice give them the glad tidings of a painful punishment!
3:22 | Their works shall be annulled in this world and in the Everlasting Life, and there shall be none to help them.
3:23 | Have you not seen those who have received a portion of the Book being called to the Book of Allah, that it might judge between them, and some turned away, swerving aside.
3:24 | For they say: 'The Fire will not touch us except for a certain number of days' And the lies they forged have deluded them in their religion.
3:25 | How will it be when We gather them for a Day in which there is no doubt, when every soul will be given what it has earned and they will not be wronged?
3:26 | Say: 'O Allah, Owner of the Kingdom. You give the kingdom to whom You will, and take it away from whom You will, You exalt whom You will and abase whom You will. In Your Hand is good, You have power over all things.
3:27 | You cause the night to enter into the day, and the day to enter into the night. You bring forth the living from the dead and the dead from the living. You provide without reckoning to whom You will'
3:28 | The believers should not take the unbelievers as guides in preference to the believers he who does this does not belong to Allah in anything, unless you have a fear of them. Allah warns you to be cautious of Him, the arrival is to Allah.
3:29 | Say: 'Whether you hide what is in your hearts or reveal it, Allah knows it. He knows all that is in the heavens and earth and has power over all things'
3:30 | The Day that every soul shall find what it has done of good brought forward, and what it has done of evil, it will wish if there were only a far space between it and that (Day). Allah warns you to be wary of Him; and Allah is Gentle with His worshipers.
3:31 | Say (Prophet Muhammad): 'If you love Allah, follow me and Allah will love you, and forgive your sins. Allah is Forgiving and Merciful'
3:32 | Say: 'Obey Allah and the Messenger' But if they turn away, then truly, Allah does not love the unbelievers.
3:33 | Allah chose Adam and Noah, the House of Abraham and the House of Imran above all worlds.
3:34 | They were the offspring of one another. Allah is Hearing, and Knowing.
3:35 | (Remember) when the wife of 'Imran said: 'Lord, I have vowed to You in dedication that which is hidden inside me. Accept this from me. You are the Hearer, the Knower'
3:36 | And when she was delivered of her, she said: 'Lord, I have given birth to her, a female' Allah knew of what she had given birth the male is not like the female 'and I have called her Mary. Protect her and all her descendants from satan, the stoned one'
3:37 | Her Lord graciously accepted her. He made her grow with a fine upbringing and entrusted her to the care of Zachariah. Whenever Zachariah went to her in the sanctuary, he found that she had provision with her. 'Mary' he said, 'how does this come to you' 'It is from Allah' she answered. Truly, Allah provides whomsoever He will without reckoning.
3:38 | Thereupon Zachariah supplicated to his Lord, saying: 'Lord, give me from You a good offspring. You hear all prayers'
3:39 | And the angels called out to him when he was standing in the sanctuary worshipping, saying: 'Allah gives you glad tidings of John, who shall confirm a Word from Allah. He shall be a master and chaste, a Prophet and from the righteous'
3:40 | He said: 'Lord, how shall I have a son when I am overtaken by old age and my wife is barren' He said: 'Even so, Allah does what He will'
3:41 | He said: 'Lord, appoint for me a sign' He said: 'Your sign is that you shall not speak to people except by signs for three days' And remember your Lord abundantly, exalt Him in the evening and at the dawn'
3:42 | And when the angels said to Mary: 'Allah has chosen you and purified you. He has chosen you above all women of the worlds.
3:43 | Mary, be obedient to your Lord, prostrate and bow with those who bow'
